
B a
一 -3.618715666782108D
万 -10.500566885381515D
上 -8.541143017159477D
下 -8.445222895280738D
不 -2.7990867583580403D
丑 -7.837979058356061D
专 -7.749031572339565D
世 -11.465647781425101D
丟 -8.386034023890408D
丢 -8.386034023890408D
严 -4.347429004286129D
丧 -9.59384560452351D
个 -6.2107599728044D
中 -7.027418050192662D
丰 -4.649596691653304D
为 -9.296594081055577D
丽 -12.851942142544992D
久 -11.147194050306567D
义 -9.241024229900768D
乏 -7.551127895798368D
乐 -5.644823286337235D
乖 -8.716775585802635D
乱 -13.545089323104937D
亂 -13.545089323104937D
了 -7.356825200022347D
争 -8.939919137116846D
亏 -10.9801399656434D
些 -9.138370075840683D
亢 -8.862958095980717D
交 -13.545089323104937D
亮 -8.29806525094445D
亲 -6.174229156568221D
亵 -12.446477034436827D
仁 -8.50166420618569D
介 -13.545089323104937D
从 -7.49300015418052D
仓 -8.708807416153459D
仗 -9.150640168432497D
价 -10.249252457100608D
任 -8.817701504392597D
伏 -11.347864745768717D
优 -5.38571458632951D
会 -10.906031993489679D
伟 -6.3881329584893D
传 -8.716775585802635D
伤 -6.61753141682662D
伶 -8.74106827837168D
伸 -13.545089323104937D
低 -5.7901790510835065D
体 -8.039757787172574D
何 -9.434215458931625D
來 -10.212884812929733D
侈 -12.851942142544992D
依 -12.446477034436827D
侠 -9.831517256400629D
侥 -8.064450399762945D
便 -5.800519513750442D
促 -10.409595107175788D
俊 -8.363305772812852D
俏 -9.114272524261624D
俗 -9.989741261615523D
保 -6.615572552341288D
俠 -9.831517256400629D
俭 -9.716447926615842D
修 -9.056452953372798D
俱 -10.212884812929733D
倉 -8.708807416153459D
個 -6.2107599728044D
倒 -7.73095879127987D
倔 -8.409290886054675D
倜 -10.906031993489679D
倥 -10.600650343938497D
倦 -9.386206239745265D
倨 -10.500566885381515D
值 -7.7830379403247605D
偉 -6.3881329584893D
偏 -7.536276137662342D
做 -11.347864745768717D
停 -8.330153565495952D
健 -5.268185841837879D
偶 -7.004059323915033D
傑 -7.082059866184267D
傲 -8.561482701396601D
傳 -8.716775585802635D
傷 -6.61753141682662D
像 -8.910360334875302D
僥 -8.064450399762945D
僵 -8.48884351775663D
價 -10.249252457100608D
僻 -9.034229816588088D
儉 -9.716447926615842D
優 -5.38571458632951D
允 -10.9801399656434D
元 -9.673888312197047D
充 -5.818435658257294D
兇 -6.849290406046445D
先 -5.693817325995053D
光 -6.660602671062154D
入 -9.114272524261624D
內 -8.05615159694825D
公 -5.977743647091697D
关 -10.454046869746621D
兴 -7.187247056596838D
具 -4.8919676144644555D
典 -8.2467719565569D
养 -9.934171410460712D
内 -8.05615159694825D
冒 -8.74106827837168D
冗 -9.537756137872465D
冥 -10.549357049550945D
冬 -12.158794961985047D
冲 -6.950675863355158D
冶 -13.545089323104937D
冷 -6.253433113930476D
净 -12.158794961985047D
凄 -7.071198626752662D
准 -6.205551627697262D
凉 -7.9691402199586205D
凋 -9.484646312558517D
凌 -8.386034023890408D
凑 -9.056452953372798D
凛 -9.783889207411374D
凜 -9.783889207411374D
凝 -8.7248077574999D
凡 -12.446477034436827D
凶 -6.849290406046445D
凸 -11.465647781425101D
出 -6.404636280003778D
刁 -9.401954596713404D
分 -7.988261261405399D
切 -11.060182673316937D
划 -8.639814544666507D
刚 -7.548637234485915D
別 -7.831356517595568D
利 -5.914142742214477D
别 -7.831356517595568D
刺 -7.992129738183319D
刻 -8.445222895280738D
削 -10.143891941442782D
剔 -11.060182673316937D
剛 -7.548637234485915D
剧 -6.499312746225425D
剽 -10.018728798488775D
劃 -8.639814544666507D
劇 -6.499312746225425D
动 -7.558637317820499D
劬 -11.599179174049624D
劲 -10.409595107175788D
劳 -7.5289321634065836D
