
B
一 -3.6544978750449433D
丁 -8.125041941842026D
七 -7.817392401429855D
万 -6.3096425804013165D
丈 -8.866689067453933D
三 -5.932085850549891D
上 -5.739552583325728D
下 -5.997089097239644D
不 -4.274262055936421D
与 -8.355569307500769D
丐 -9.985251083961709D
丑 -10.200388187382178D
专 -6.373950868459459D
且 -10.194028865473886D
世 -6.142051005803147D
丘 -8.88385596143092D
丙 -10.895131537474946D
业 -7.835434989100892D
丛 -9.507241006822232D
东 -6.004002008087405D
丝 -8.859361493580714D
丞 -10.149094892994627D
丟 -9.766619303111161D
丢 -9.766619303111161D
两 -5.616014902721218D
严 -6.980651489152666D
並 -7.383967650611162D
丧 -9.218662207363717D
个 -7.167361665594661D
丫 -9.55250867414066D
中 -4.596743315282086D
丰 -7.604157975048104D
串 -10.424728626930234D
临 -7.845071440995644D
丸 -11.936319207057291D
丹 -8.755441313832726D
为 -6.33937311455966D
主 -5.35605669160454D
丽 -9.720663223766415D
举 -7.056675976927588D
乃 -9.237664438002724D
久 -9.42242502039604D
么 -17.334481908575043D
义 -8.047921510687452D
之 -5.681481506739282D
乌 -8.10218436924682D
乍 -11.879160793217343D
乎 -17.334481908575043D
乏 -11.245437033128198D
乐 -8.187613959554435D
乒 -10.85750954568536D
乓 -17.334481908575043D
乔 -8.741254030882809D
乖 -10.475916873783678D
乘 -8.683807325784326D
乙 -9.492988984115032D
乜 -13.750962970118934D
九 -7.682537381874823D
乞 -10.536541495600114D
也 -7.999449092641543D
习 -8.274266995176498D
乡 -8.186655441988103D
书 -7.36881799761224D
买 -8.79846696291822D
乱 -9.142464994038168D
乳 -9.081514713574245D
乾 -9.34899755184122D
亂 -9.142464994038168D
了 -7.786883894203812D
予 -9.53719063502757D
争 -7.793902974733167D
事 -6.248975792069306D
二 -6.454888741863603D
于 -7.2575033406297775D
亏 -9.696765475910246D
云 -7.87400558022105D
互 -8.044591257840851D
亓 -13.057815789558989D
五 -6.609563905188721D
井 -9.415489420409799D
亘 -13.274038898028625D
亙 -13.274038898028625D
亚 -7.5793783618051735D
些 -11.456746126795405D
亞 -7.5793783618051735D
亟 -11.905136279620603D
亡 -10.16052358881825D
亢 -11.508481801194593D
交 -6.487691751917963D
亥 -14.936586635776674D
亦 -10.879283345234922D
产 -6.1461099908325005D
亨 -10.448972238540227D
亩 -12.749514429904472D
享 -8.53105769697434D
京 -8.096429098032326D
亭 -11.31588869407881D
亮 -9.615352067668312D
亲 -7.22895187463276D
亳 -13.030416815370874D
亵 -12.222494120218501D
人 -4.673338450394872D
亿 -7.221057632211988D
什 -6.306779299991302D
仁 -9.47661434924324D
仄 -14.849575258787043D
仅 -8.629813795124058D
仆 -10.181430273637563D
仇 -9.531046851622875D
仉 -14.849575258787043D
今 -6.635854825728911D
介 -7.923080008430854D
仍 -8.109844231898036D
从 -6.751768630820015D
仓 -9.74565203026723D
仔 -9.304397814307482D
仕 -11.133972734532353D
他 -5.822797213040948D
仗 -11.685507670413838D
付 -8.846099799012926D
仙 -8.448625915574747D
仝 -12.952455273901162D
仟 -15.948187547455154D
仡 -11.553738392782714D
代 -6.451935419112419D
令 -7.853809102482193D
以 -5.494658465703618D
仨 -14.695424578959786D
仪 -8.385376439035793D
仫 -13.291430640740494D
仰 -9.658008262185888D
仲 -10.032659566437111D
仵 -12.952455273901162D
件 -13.484334306864985D
价 -7.024196802696973D
任 -6.381152231740235D
份 -10.051720728969451D
仿 -8.868161047532563D
企 -6.750375326056241D
伉 -13.596812290291675D
伊 -7.682601684353706D
伍 -9.571885860034975D
伎 -12.310601387728767D
伏 -9.380812129925246D
伐 -12.652350681450825D
休 -8.407433260749348D
众 -7.590400488262129D
优 -7.083864824943714D
伙 -9.515247454715974D
会 -6.520359589020918D
伛 -15.948187547455154D
伞 -10.78340157353164D
伟 -8.8922278038233D
传 -6.684638217147827D
伢 -15.137257331238825D
伤 -8.068990692134014D
伥 -16.6413347280151D
伦 -8.967646598747368D
伪 -9.783295041278894D
伫 -12.436642108624133D
伬 -15.255040366895209D
伯 -8.873435877781807D
估 -8.80714038610699D
伴 -9.290176501584405D
伶 -11.789304464095482D
伸 -8.236638567826008D
伺 -10.57754951932749D
似 -7.702475049152689D
伽 -11.383839355987316D
佃 -11.100071182856672D
但 -7.048559077045443D
佇 -12.436642108624133D
位 -7.190050180099199D
低 -7.654262915166277D
住 -8.490289782330075D
